game_id,points,offense,defense,offense_mean,defense_mean
1,0,Southern Miss,Florida St,78.7,40.13
2,0,Iowa,Boston College,25.89,30.96
3,0,Arizona,Purdue,50.7,44.51
4,0,Texas,Missouri,44.1,48.54
5,0,Virginia,Navy,63.33,51.61
6,0,Virginia Tech,Oklahoma St,19.41,19.39
7,0,Stanford,TCU,17.31,15
8,0,Washington St,Michigan St,24.7,20.78
9,0,Wake Forest,Texas A&M,32.82,45.46
10,0,NC State,Arizona St,25.34,41.44
11,0,Kentucky,Northwestern,57.89,20.83
12,0,Utah St,New Mexico St,84.57,101.82
13,0,USC,Ohio St,12.62,4.96
14,0,Louisville,Mississippi St,27.51,26.12
15,0,Iowa St,Memphis,33.95,21.31
16,0,Washington,Penn St,11.72,7.69
17,0,Wisconsin,Miami FL,5.56,12.94
18,0,Michigan,South Carolina,23.2,38.11
19,0,UCF,Auburn,9.1,8.66
20,0,Notre Dame,LSU,11.16,21.18
21,0,Georgia,Oklahoma,2.73,4.97
22,0,Alabama,Clemson,5.06,2.1
1,0,Florida St,Southern Miss,40.13,78.7
2,0,Boston College,Iowa,30.96,25.89
3,0,Purdue,Arizona,44.51,50.7
4,0,Missouri,Texas,48.54,44.1
5,0,Navy,Virginia,51.61,63.33
6,0,Oklahoma St,Virginia Tech,19.39,19.41
7,0,TCU,Stanford,15,17.31
8,0,Michigan St,Washington St,20.78,24.7
9,0,Texas A&M,Wake Forest,45.46,32.82
10,0,Arizona St,NC State,41.44,25.34
11,0,Northwestern,Kentucky,20.83,57.89
12,0,New Mexico St,Utah St,101.82,84.57
13,0,Ohio St,USC,4.96,12.62
14,0,Mississippi St,Louisville,26.12,27.51
15,0,Memphis,Iowa St,21.31,33.95
16,0,Penn St,Washington,7.69,11.72
17,0,Miami FL,Wisconsin,12.94,5.56
18,0,South Carolina,Michigan,38.11,23.2
19,0,Auburn,UCF,8.66,9.1
20,0,LSU,Notre Dame,21.18,11.16
21,0,Oklahoma,Georgia,4.97,2.73
22,0,Clemson,Alabama,2.1,5.06
