game_id,points,offense,defense
1,0,Wake Forest,Texas A&M
2,0,NC State,Arizona St
3,0,Kentucky,Northwestern
4,0,Utah St,New Mexico St
5,0,USC,Ohio St
6,0,Louisville,Mississippi St
7,0,Iowa St,Memphis
8,0,Washington,Penn St
9,0,Wisconsin,Miami FL
10,0,Michigan,South Carolina
11,0,UCF,Auburn
12,0,Notre Dame,LSU
13,0,Georgia,Oklahoma
14,0,Alabama,Clemson
1,0,Texas A&M,Wake Forest
2,0,Arizona St,NC State
3,0,Northwestern,Kentucky
4,0,New Mexico St,Utah St
5,0,Ohio St,USC
6,0,Mississippi St,Louisville
7,0,Memphis,Iowa St
8,0,Penn St,Washington
9,0,Miami FL,Wisconsin
10,0,South Carolina,Michigan
11,0,Auburn,UCF
12,0,LSU,Notre Dame
13,0,Oklahoma,Georgia
14,0,Clemson,Alabama
