game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
2,38,Hawaii,Massachusetts,119.54,120,119.8,105.98,108,106.21,13.560000000000002,12,13.590000000000003,28.988345816115704
3,58,Colorado St,Oregon St,77.44,76,77.48,115.88,117,116.31,-38.44,-41,-38.83,40.517830516898606
4,42,South Florida,San Jose St,35.43,34,35.21,125.87,126,126.27,-90.44,-92,-91.06,47.59865615316172
5,62,Stanford,Rice,17.31,16,17.12,125.18,126,125.54,-107.87,-110,-108.42,46.199441988777075
15,49,Ohio St,Indiana,4.96,5,4.88,62.31,62,62.21,-57.35,-57,-57.33,42.894422644799945
16,37,Memphis,ULM,21.31,20,21.3,108.66,109,108.85,-87.35,-89,-87.55,46.897098739369085
17,17,Minnesota,Buffalo,71.37,69,71.23,85.25,86,85.32,-13.879999999999995,-17,-14.08999999999999,27.288136632631158
18,37,Arizona St,New Mexico St,41.44,40,41.02,101.82,103,102.09,-60.379999999999995,-63,-61.07,38.56936074856918
19,61,UCF,Florida Intl,9.1,8,8.95,77.11,77,77.06,-68.01,-69,-68.11,45.995253512714925
20,59,Oklahoma St,Tulsa,19.39,18.5,19.36,104.96,107,105.16,-85.57,-88.5,-85.8,48.762258349416115
23,24,E Michigan,Charlotte,89.25,90,89.49,126.26,127,126.63,-37.010000000000005,-37,-37.14,34.39803184499251
24,30,Washington,Rutgers,11.72,11,11.48,92.08,92,92.05,-80.36,-81,-80.57,39.720135991346005
25,23,Boston College,N Illinois,30.96,29,30.52,57.87,58,57.68,-26.909999999999997,-29,-27.16,32.64288116420557
26,59,Wisconsin,Utah St,5.56,5,5.46,84.57,85,84.71,-79.00999999999999,-80,-79.25,45.604061061585966
27,17,Colorado,Colorado St,77.62,78,77.67,77.44,76,77.48,0.18000000000000682,2,0.18999999999999773,21.6846228270029
28,42,Navy,FL Atlantic,51.61,52,51.33,37.09,34,36.72,14.519999999999996,18,14.61,29.619441674975075
64,56,Clemson,Kent,2.1,2,2.05,121.62,122,121.88,-119.52000000000001,-120,-119.83,46.322403189418054
65,38,Coastal Car,Massachusetts,119.83,121,120,105.98,108,106.21,13.849999999999994,13,13.790000000000006,28.45517017828201
66,24,Alabama,Florida St,5.06,5,5.04,40.13,39,39.82,-35.07,-34,-34.78,31.814482489571766
67,31,Georgia,Appalachian St,2.73,2,2.68,71.49,72,71.44,-68.75999999999999,-70,-68.75999999999999,44.660012080942316
68,31,Marshall,Miami OH,73.74,76,73.68,97.8,98,98.05,-24.060000000000002,-22,-24.36999999999999,31.991451667853934
69,35,Michigan St,Bowling Green,20.78,18,20.55,114.81,116,115.04,-94.03,-98,-94.49000000000001,45.341758145764786
70,35,California,North Carolina,65.23,64,65.12,86.16,91,86.25,-20.929999999999993,-27,-21.129999999999995,31.112244593586876
71,35,South Carolina,NC State,38.11,36,37.84,25.34,24,25.05,12.77,12,12.790000000000003,26.29690282370898
72,52,Penn St,Akron,7.69,7,7.54,83.39,82,83.29,-75.7,-75,-75.75,47.48826320389562
73,35,Louisville,Purdue,27.51,27,27.26,44.51,43,44.28,-16.999999999999996,-16,-17.02,26.85185522008003
74,41,Auburn,Ga Southern,8.66,9,8.62,120.79,122,121.06,-112.13000000000001,-113,-112.44,45.51375515818432
75,27,LSU,BYU,21.18,21,21.07,104.12,106,104.47,-82.94,-85,-83.4,38.85332748189712
76,33,Michigan,Florida,23.2,22,22.91,69.78,70,69.85,-46.58,-48,-46.94,31.900136206042596
77,24,Illinois,Ball St,107.92,108,108.22,125.54,126,125.8,-17.620000000000005,-18,-17.58,31.531929282194955
78,24,Iowa,Wyoming,25.89,24,25.45,77.85,79,78.03,-51.959999999999994,-55,-52.58,33.32801279255706
79,43,Nebraska,Arkansas St,77.64,76,77.47,77.83,80,78.05,-0.18999999999999773,-4,-0.5799999999999983,23.46359452814726
80,31,Northwestern,Nevada,20.83,20,20.68,104.18,104,104.38,-83.35000000000001,-84,-83.69999999999999,39.34035207763125
81,56,Oklahoma,UTEP,4.97,4,4.94,129.25,130,129.59,-124.28,-126,-124.65,47.02989918084436
82,47,Mississippi,South Alabama,62.27,63,62.11,114.65,116,114.86,-52.38,-53,-52.75,38.95482733463035
83,51,Maryland,Texas,75.53,74,75.65,44.1,43,43.94,31.43,31,31.710000000000008,26.113501483679524
84,24,Boise St,Troy,29.91,29.5,29.91,48.22,46,48.03,-18.31,-16.5,-18.12,27.105587315624902
85,49,USC,W Michigan,12.62,12,12.54,78.47,79,78.33,-65.85,-67,-65.78999999999999,40.636388676358074
86,49,Notre Dame,Temple,11.16,10,10.99,74.57,74,74.6,-63.41,-64,-63.60999999999999,42.67774714210477
87,24,Kentucky,Southern Miss,57.89,58,57.59,78.7,81,78.92,-20.810000000000002,-23,-21.33,31.96590737211483
88,28,Vanderbilt,MTSU,80.34,81,80.48,92.5,94,92.62,-12.159999999999997,-13,-12.14,26.585908085818442
89,45,UCLA,Texas A&M,50.2,50,50.05,45.46,45,45.32,4.740000000000002,5,4.729999999999997,27.79410864106804
90,31,Virginia Tech,West Virginia,19.41,19,19.25,44.8,44,44.59,-25.389999999999997,-25,-25.340000000000003,32.48573752221453
91,42,Tennessee,Georgia Tech,89.17,90,89.2,48.67,48,48.54,40.5,42,40.660000000000004,25.9061002874481
94,44,Purdue,Ohio,44.51,43,44.28,62.63,63,62.51,-18.120000000000005,-20,-18.229999999999997,34.46733246219899
95,44,Oklahoma St,South Alabama,19.39,18.5,19.36,114.65,116,114.86,-95.26,-97.5,-95.5,45.87510541161418
119,21,Army,Buffalo,54.96,55,54.6,85.25,86,85.32,-30.29,-31,-30.71999999999999,27.62987761901711
120,51,Ball St,UAB,125.54,126,125.8,89.48,91,89.66,36.06,35,36.14,18.93393687301199
121,34,Wake Forest,Boston College,32.82,32,32.49,30.96,29,30.52,1.8599999999999994,3,1.9700000000000024,28.44708240674038
122,14,Clemson,Auburn,2.1,2,2.05,8.66,9,8.62,-6.5600000000000005,-7,-6.569999999999999,28.06519539029088
123,41,Duke,Northwestern,53.03,51,52.77,20.83,20,20.68,32.2,31,32.09,25.740343690998113
124,17,Old Dominion,Massachusetts,108.61,108,108.74,105.98,108,106.21,2.6299999999999955,0,2.530000000000001,23.83839720835088
125,36,Michigan,Cincinnati,23.2,22,22.91,101.84,103,101.92,-78.64,-81,-79.01,38.86747753471907
126,28,Michigan St,W Michigan,20.78,18,20.55,78.47,79,78.33,-57.69,-61,-57.78,36.22032657478435
127,23,Navy,Tulane,51.61,52,51.33,80.4,79,80.31,-28.790000000000006,-27,-28.980000000000004,30.72078418871533
128,47,Louisville,North Carolina,27.51,27,27.26,86.16,91,86.25,-58.64999999999999,-64,-58.989999999999995,39.98794263617818
129,37,NC State,Marshall,25.34,24,25.05,73.74,76,73.68,-48.39999999999999,-52,-48.63000000000001,34.254116800143976
130,31,Oklahoma,Ohio St,4.97,4,4.94,4.96,5,4.88,0.009999999999999787,-1,0.0600000000000005,26.064612452350698
131,33,Penn St,Pittsburgh,7.69,7,7.54,64.3,65,64.18,-56.61,-58,-56.64000000000001,36.440795301683124
132,16,E Michigan,Rutgers,89.25,90,89.49,92.08,92,92.05,-2.8299999999999983,-2,-2.5600000000000023,19.957257476294675
133,30,MTSU,Syracuse,92.5,94,92.62,73.23,71,73.23,19.269999999999996,23,19.39,20.832866063463744
134,34,Indiana,Virginia,62.31,62,62.21,63.33,62,63.21,-1.019999999999996,0,-1,26.3797931925894
135,56,West Virginia,East Carolina,44.8,44,44.59,107.55,108,107.72,-62.75,-64,-63.129999999999995,42.1414345681282
136,41,Alabama,Fresno St,5.06,5,5.04,46.19,43,46.03,-41.129999999999995,-38,-40.99,36.95233238338083
137,28,TCU,Arkansas,15,15,14.98,83.09,83,83.19,-68.09,-68,-68.21,40.76207870341948
138,17,UT San Antonio,Baylor,92.49,95,92.72,104.83,111,105.15,-12.340000000000003,-16,-12.430000000000007,28.895900905075216
139,20,Illinois,WKU,107.92,108,108.22,101.64,102,101.86,6.280000000000001,6,6.359999999999999,29.0876180001833
140,44,Iowa,Iowa St,25.89,24,25.45,33.95,34,33.59,-8.060000000000002,-10,-8.140000000000004,30.009249710946534
141,45,C Michigan,Kansas,67.65,67,67.57,120.93,121,121.19,-53.28,-54,-53.620000000000005,37.383037523797825
142,55,Kansas St,Charlotte,45.64,46,45.47,126.26,127,126.63,-80.62,-81,-81.16,46.33481225328679
143,31,South Carolina,Missouri,38.11,36,37.84,48.54,51,48.45,-10.43,-15,-10.61,27.55846685516808
144,54,SMU,North Texas,58.7,59,58.42,65.82,64,65.71,-7.11999999999999,-5,-7.289999999999992,34.77009863298149
145,56,Texas,San Jose St,44.1,43,43.94,125.87,126,126.27,-81.77000000000001,-83,-82.33,46.12994752866489
146,66,Tulsa,ULL,104.96,107,105.16,115.28,117,115.54,-10.320000000000007,-10,-10.38000000000001,33.082800895144814
147,31,Wisconsin,FL Atlantic,5.56,5,5.46,37.09,34,36.72,-31.530000000000005,-29,-31.259999999999998,32.10506048937267
148,19,Utah,BYU,49.68,52,49.5,104.12,106,104.47,-54.440000000000005,-54,-54.97,32.99084827063873
149,37,Colorado,Texas St,77.62,78,77.67,126.47,127,126.77,-48.849999999999994,-49,-49.099999999999994,33.59839122960656
150,30,New Mexico St,New Mexico,101.82,103,102.09,113.56,114,113.77,-11.740000000000009,-11,-11.679999999999993,30.33387308667624
151,31,Rice,UTEP,125.18,126,125.54,129.25,130,129.59,-4.069999999999993,-4,-4.049999999999997,21.952421303706494
152,19,Houston,Arizona,48.13,47,47.77,50.7,50,50.5,-2.5700000000000003,-3,-2.729999999999997,27.585585585585587
153,30,San Diego St,Arizona St,34.67,33,34.41,41.44,40,41.02,-6.769999999999996,-7,-6.6100000000000065,28.865170429691442
154,44,UNLV,Idaho,102.19,102,102.21,112.71,114,112.86,-10.519999999999996,-12,-10.650000000000006,31.31693367459791
155,37,Toledo,Nevada,32.47,31,32.14,104.18,104,104.38,-71.71000000000001,-73,-72.24,39.504974761474045
156,42,Oregon,Nebraska,39.78,39,39.66,77.64,76,77.47,-37.86,-37,-37.81,39.217266918846754
157,48,Minnesota,Oregon St,71.37,69,71.23,115.88,117,116.31,-44.50999999999999,-48,-45.08,42.8110604792461
158,56,UCLA,Hawaii,50.2,50,50.05,119.54,120,119.8,-69.34,-70,-69.75,45.94363162802662
159,42,USC,Stanford,12.62,12,12.54,17.31,16,17.12,-4.6899999999999995,-4,-4.580000000000002,29.565754882323485
160,47,Washington St,Boise St,24.7,23,24.64,29.91,29.5,29.91,-5.210000000000001,-6.5,-5.27,27.478162314028477
161,57,Mississippi St,Louisiana Tech,26.12,27,26.12,88.91,91,88.99,-62.78999999999999,-64,-62.86999999999999,40.187224212989015
162,20,Georgia,Notre Dame,2.73,2,2.68,11.16,10,10.99,-8.43,-8,-8.31,31.912591316553417
163,28,Boise St,New Mexico,29.91,29.5,29.91,113.56,114,113.77,-83.65,-84.5,-83.86,41.77737059092991
164,47,South Florida,Illinois,35.43,34,35.21,107.92,108,108.22,-72.49000000000001,-74,-73.00999999999999,44.427692590212104
165,29,Temple,Massachusetts,74.57,74,74.6,105.98,108,106.21,-31.41000000000001,-34,-31.61,34.152439587501924
